;especies;caracteristicas;7;11;15;19;23;27;31;35;39;43;total_das_classes
4;Acosmium dasycarpum;arvores;0;5,56;5,56;0;0;0;0;0;0;0;11,11
7;Acosmium sub elegans;arvores;5,56;5,56;0;0;5,56;0;0;0;0;0;16,67
10;Annona crassiflora;arvores;0;5,56;0;0;0;0;0;0;0;0;5,56
13;Byrsonima coccolobifolia;arvores;5,56;22,22;11,11;11,11;0;0;0;0;0;0;50
16;Casearia sylvestris;arvores;5,56;0;0;0;0;0;0;0;0;0;5,56
19;Davilla elliptica;arvores;5,56;5,56;0;0;0;0;0;0;0;0;11,11
22;Diospyros coccolobifolia;arvores;16,67;5,56;5,56;0;0;0;0;0;0;0;27,78
25;Erythroxylum spl;arvores;16,67;0;0;0;0;0;0;0;0;0;16,67
28;Erythroxylum suberosum;arvores;5,56;5,56;0;0;0;0;0;0;0;0;11,11
31;Erythroxylum tortuosum;arvores;5,56;0;0;0;0;0;0;0;0;0;5,56
34;Eugenia dysenterica;arvores;33,33;5,56;11,11;0;0;0;0;0;0;0;50
37;Hymenaea stigonocarpa;arvores;11,11;0;11,11;0;0;0;0;0;0;0;22,22
40;Kielmeyera coriacae;arvores;77,78;33,33;0;0;0;0;0;0;0;0;111,11
43;Lafoensia pacari;arvores;61,11;44,44;27,78;11,11;0;5,56;0;0;0;0;150
46;Magonia pubescens;arvores;22,22;0;0;0;0;0;5,56;0;0;0;27,78
49;Ouratea hexasperma;arvores;5,56;0;0;0;0;0;0;0;0;0;5,56
52;Piptocarpha rotundifolia;arvores;5,56;0;5,56;0;0;0;0;0;0;0;11,11
55;Pouteria ramiflora;arvores;44,44;16,67;22,22;22,22;0;0;0;0;0;0;105,56
3;Pseudobombax longiflorum;arvores;0;0;0;5,56;0;0;0;0;0;0;5,56
6;Quatea grandiflora;arvores;27,78;27,78;0;5,56;0;0;0;0;0;0;61,11
9;Quatea parviflora;arvores;150;44,44;33,33;11,11;5,56;0;11,11;0;0;0;255,56
12;Salvertia convallariodora;arvores;0;0;5,56;0;5,56;0;0;0;0;0;11,11
15;Sclerolobium paniculatum;arvores;0;5,56;5,56;0;0;0;0;0;0;0;11,11
18;Senna ovalifolia;arvores;5,56;5,56;0;0;0;0;0;0;0;0;11,11
21;Syagrus flexuosa;arvores;0;5,56;0;0;0;0;0;0;0;0;5,56
24;Tabebuia aurea;arvores;0;5,56;0;0;0;0;0;0;0;0;5,56
27;Tocoyena formosa;arvores;5,56;0;0;5,56;0;0;0;0;0;0;5,56
30;Vochysia rufa;arvores;27,78;5,56;0;0;0;0;0;0;0;0;33,33
