"";"especies";"caracteristicas";"7";"11";"15";"19";"23";"27";"31";"35";"39";"43";"total_das_classes"
"3";"Pseudobombax longiflorum";"arvores";0;0;0;5,56;0;0;0;0;0;0;5,56
"6";"Quatea grandiflora";"arvores";27,78;27,78;0;5,56;0;0;0;0;0;0;61,11
"9";"Quatea parviflora";"arvores";150;44,44;33,33;11,11;5,56;0;11,11;0;0;0;255,56
"12";"Salvertia convallariodora";"arvores";0;0;5,56;0;5,56;0;0;0;0;0;11,11
"15";"Sclerolobium paniculatum";"arvores";0;5,56;5,56;0;0;0;0;0;0;0;11,11
"18";"Senna ovalifolia";"arvores";5,56;5,56;0;0;0;0;0;0;0;0;11,11
"21";"Syagrus flexuosa";"arvores";0;5,56;0;0;0;0;0;0;0;0;5,56
"24";"Tabebuia aurea";"arvores";0;5,56;0;0;0;0;0;0;0;0;5,56
"27";"Tocoyena formosa";"arvores";5,56;0;0;5,56;0;0;0;0;0;0;5,56
"30";"Vochysia rufa";"arvores";27,78;5,56;0;0;0;0;0;0;0;0;33,33
